epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.599,1.46224,2.12256,1.70044,0.6523,0.53821,0.61141,0.32947,1.0215,7.07379,1.21753,0.0033276,0.0033276,0.0033276
2,926.757,1.29714,1.25242,1.50096,0.67103,0.57985,0.64736,0.36474,0.92444,13.2908,1.13522,0.00662796,0.00662796,0.00662796
3,1047.12,1.36874,1.38118,1.56954,0.49975,0.49729,0.47484,0.24841,1.08711,9.60727,1.34074,0.00989532,0.00989532,0.00989532
4,1166.98,1.4404,1.52879,1.62579,0.64677,0.59854,0.62694,0.34501,0.99543,3.43381,1.20931,0.0098515,0.0098515,0.0098515
5,1288.13,1.4052,1.43226,1.60039,0.73641,0.58155,0.66945,0.38059,0.94002,10.9626,1.16638,0.009802,0.009802,0.009802
6,1407.7,1.34772,1.315,1.56083,0.76962,0.62924,0.70192,0.41457,0.9043,5.01451,1.14928,0.0097525,0.0097525,0.0097525
7,1525.49,1.31264,1.24333,1.53302,0.81797,0.68307,0.77093,0.47288,0.83522,1.9248,1.07394,0.009703,0.009703,0.009703
8,1643.04,1.28536,1.19433,1.50312,0.80396,0.71877,0.79274,0.47892,0.84839,4.76443,1.06876,0.0096535,0.0096535,0.0096535
9,1760.9,1.24572,1.11913,1.47822,0.8225,0.75565,0.80634,0.51671,0.77235,4.00582,1.01549,0.009604,0.009604,0.009604
10,1879.94,1.22187,1.07745,1.45629,0.78674,0.75652,0.80489,0.52205,0.78206,3.5217,1.0135,0.0095545,0.0095545,0.0095545
11,1999.08,1.20565,1.04694,1.44734,0.85344,0.74287,0.82206,0.52871,0.77112,2.59395,1.01125,0.009505,0.009505,0.009505
12,2118,1.19348,1.03832,1.43578,0.8624,0.78812,0.84434,0.54482,0.76924,1.926,0.99084,0.0094555,0.0094555,0.0094555
13,2237.19,1.17383,0.99317,1.41748,0.8074,0.80608,0.85256,0.55818,0.7587,1.38608,0.99076,0.009406,0.009406,0.009406
14,2355.82,1.16312,0.98352,1.41026,0.87332,0.8116,0.86779,0.55647,0.76043,2.02585,0.9739,0.0093565,0.0093565,0.0093565
15,2474.92,1.1532,0.95341,1.39748,0.87559,0.79079,0.86489,0.5781,0.72944,2.1604,0.96815,0.009307,0.009307,0.009307
16,2593.38,1.1281,0.93412,1.38848,0.90858,0.81131,0.88785,0.59375,0.71159,1.55571,0.95191,0.0092575,0.0092575,0.0092575
17,2711.37,1.12492,0.91761,1.38149,0.88714,0.8124,0.87122,0.5845,0.714,1.87023,0.95171,0.009208,0.009208,0.009208
18,2828.88,1.1198,0.90531,1.37918,0.89378,0.77365,0.86502,0.57625,0.73245,1.67357,0.95732,0.0091585,0.0091585,0.0091585
19,2948.95,1.10851,0.88091,1.36797,0.88301,0.8257,0.88239,0.59493,0.70918,1.4211,0.93926,0.009109,0.009109,0.009109
20,3067.5,1.09245,0.86629,1.3525,0.92115,0.84767,0.91378,0.60979,0.7115,1.665,0.9404,0.0090595,0.0090595,0.0090595
21,3186.26,1.09522,0.85976,1.35301,0.89557,0.81041,0.87855,0.60282,0.68761,1.39499,0.92024,0.00901,0.00901,0.00901
22,3304.94,1.07663,0.83725,1.34007,0.92312,0.82399,0.90205,0.62417,0.67806,1.65398,0.91538,0.0089605,0.0089605,0.0089605
23,3423.15,1.07514,0.8277,1.33853,0.91006,0.83748,0.91358,0.63182,0.67294,1.48373,0.9069,0.008911,0.008911,0.008911
24,3542.27,1.06184,0.81851,1.33435,0.9246,0.84756,0.91023,0.62368,0.66742,1.47786,0.90927,0.0088615,0.0088615,0.0088615
25,3661.67,1.06077,0.81403,1.33644,0.88308,0.83413,0.89304,0.61635,0.68195,1.91849,0.91961,0.008812,0.008812,0.008812
26,3781.84,1.05371,0.81918,1.32914,0.90843,0.85533,0.91988,0.64796,0.65443,1.15391,0.89038,0.0087625,0.0087625,0.0087625
27,3901.92,1.03758,0.78407,1.30787,0.9349,0.87085,0.92346,0.64672,0.66044,1.22418,0.89936,0.008713,0.008713,0.008713
28,4022.61,1.04328,0.78018,1.313,0.90318,0.87262,0.9174,0.64389,0.65012,1.67065,0.8836,0.0086635,0.0086635,0.0086635
29,4146.09,1.03899,0.77708,1.31144,0.93593,0.88437,0.93605,0.6666,0.63473,1.6611,0.87216,0.008614,0.008614,0.008614
30,4267.79,1.01792,0.76493,1.3005,0.93057,0.86394,0.92395,0.65553,0.63315,1.19493,0.87356,0.0085645,0.0085645,0.0085645
31,4391.68,1.01292,0.75481,1.29316,0.94556,0.86904,0.92703,0.66165,0.63765,1.34238,0.87479,0.008515,0.008515,0.008515
32,4512.25,1.0101,0.74398,1.29162,0.92255,0.87291,0.92591,0.6566,0.62933,1.25807,0.87036,0.0084655,0.0084655,0.0084655
33,4636.22,1.0148,0.75194,1.2965,0.95317,0.87651,0.93683,0.67117,0.62445,1.2122,0.85956,0.008416,0.008416,0.008416
34,4759.08,1.00474,0.73284,1.2857,0.94066,0.88273,0.9332,0.66705,0.62499,1.40482,0.86033,0.0083665,0.0083665,0.0083665
35,4883.86,1.0012,0.7395,1.28653,0.9463,0.86572,0.9323,0.67076,0.6264,1.35149,0.85966,0.008317,0.008317,0.008317
36,5006.81,0.99485,0.73296,1.27863,0.9475,0.88967,0.93983,0.67635,0.62097,1.07484,0.85654,0.0082675,0.0082675,0.0082675
37,5129.44,0.9914,0.72658,1.27985,0.94215,0.88941,0.93682,0.67519,0.62233,1.08726,0.85619,0.008218,0.008218,0.008218
38,5251.95,0.9857,0.7217,1.26699,0.94584,0.89094,0.9399,0.68389,0.60431,1.31448,0.83928,0.0081685,0.0081685,0.0081685
39,5373.84,0.98557,0.71309,1.27003,0.92899,0.90469,0.94312,0.68425,0.60607,1.11052,0.84093,0.008119,0.008119,0.008119
40,5494.88,0.98127,0.70885,1.26988,0.94,0.8956,0.93449,0.67678,0.60192,1.13289,0.84446,0.0080695,0.0080695,0.0080695
41,5615.4,0.98491,0.70341,1.27141,0.94969,0.90118,0.94436,0.68689,0.5906,1.12358,0.83147,0.00802,0.00802,0.00802
42,5733.29,0.96491,0.69776,1.26093,0.96608,0.89962,0.95056,0.69562,0.59717,1.06935,0.84023,0.0079705,0.0079705,0.0079705
43,5850.28,0.96353,0.6911,1.26123,0.95031,0.90881,0.94325,0.69347,0.58944,1.23075,0.83401,0.007921,0.007921,0.007921
44,5966.95,0.96768,0.69695,1.26325,0.94843,0.9017,0.94081,0.69774,0.58697,1.14714,0.83043,0.0078715,0.0078715,0.0078715
45,6083.62,0.94937,0.67302,1.24962,0.95241,0.91823,0.95109,0.70484,0.58233,1.02978,0.82372,0.007822,0.007822,0.007822
46,6200.42,0.95587,0.67826,1.25597,0.95072,0.90853,0.94659,0.70357,0.57636,1.22385,0.81978,0.0077725,0.0077725,0.0077725
47,6321.49,0.95447,0.68067,1.25041,0.95763,0.90294,0.95014,0.70396,0.57794,1.09836,0.81805,0.007723,0.007723,0.007723
48,6441.56,0.94905,0.67867,1.24756,0.94831,0.91556,0.94842,0.70221,0.5785,1.13525,0.81771,0.0076735,0.0076735,0.0076735
49,6561.73,0.93652,0.66224,1.24372,0.96807,0.91401,0.95413,0.71001,0.57651,1.2769,0.81768,0.007624,0.007624,0.007624
50,6680.46,0.94073,0.66092,1.24335,0.95282,0.90509,0.9513,0.70588,0.57672,1.22062,0.8158,0.0075745,0.0075745,0.0075745
51,6800.52,0.93821,0.66275,1.24469,0.95487,0.9152,0.95401,0.71071,0.57289,1.00763,0.81503,0.007525,0.007525,0.007525
52,6922.94,0.932,0.65858,1.23881,0.95319,0.91424,0.95373,0.71107,0.56697,1.02764,0.81202,0.0074755,0.0074755,0.0074755
53,7041.31,0.93112,0.65525,1.24286,0.95534,0.92476,0.95607,0.71373,0.56448,1.02005,0.80896,0.007426,0.007426,0.007426
54,7160.18,0.92016,0.64946,1.22904,0.95993,0.92526,0.95625,0.71615,0.56186,1.0579,0.80307,0.0073765,0.0073765,0.0073765
55,7278.67,0.91732,0.64695,1.2249,0.95841,0.92301,0.95753,0.71364,0.56089,1.06914,0.80347,0.007327,0.007327,0.007327
56,7397.08,0.91642,0.64588,1.23082,0.94952,0.92272,0.95198,0.71441,0.55509,1.03054,0.79936,0.0072775,0.0072775,0.0072775
57,7516.26,0.91952,0.64274,1.22447,0.95056,0.92124,0.94678,0.71336,0.55523,1.00846,0.79993,0.007228,0.007228,0.007228
58,7634.63,0.91197,0.63228,1.22341,0.95014,0.9267,0.95078,0.7193,0.55246,0.99594,0.79697,0.0071785,0.0071785,0.0071785
59,7753.7,0.90854,0.63129,1.21683,0.96908,0.91799,0.9542,0.71966,0.55117,1.10402,0.7947,0.007129,0.007129,0.007129
60,7871.88,0.90415,0.62838,1.21492,0.96913,0.91625,0.95839,0.72489,0.55263,1.05413,0.79677,0.0070795,0.0070795,0.0070795
61,7990.34,0.90641,0.63151,1.21662,0.96853,0.92306,0.95868,0.72759,0.54827,1.15474,0.79134,0.00703,0.00703,0.00703
62,8108.2,0.89551,0.6156,1.21162,0.96101,0.92775,0.9569,0.72856,0.54538,0.96607,0.79005,0.0069805,0.0069805,0.0069805
